ASGS_Structure,Census_Code_2021,AGSS_Code_2021,Census_Name_2021,Area sqkm
UCL,UCL115159,115159,Wilberforce,1.7281
UCL,UCL115160,115160,Wilton,2.9324
UCL,UCL115161,115161,Wingham,7.2557
UCL,UCL115162,115162,Wollongbar,2.9112
UCL,UCL115163,115163,Wyee,5.5092
UCL,UCL115164,115164,Wyee Point,0.95
UCL,UCL115165,115165,Yenda,3.0959
UCL,UCL121001,121001,Adelong (L),2.6267
UCL,UCL121002,121002,Baradine (L),3.189
UCL,UCL121003,121003,Bawley Point (L),2.2931
UCL,UCL121004,121004,Beechwood (L),9.9177
UCL,UCL121005,121005,Belimbla Park (L),3.6613
UCL,UCL121006,121006,Berrara - Cudmirrah (L),1.3536
UCL,UCL121007,121007,Berrigan (L),9.1952
UCL,UCL121008,121008,Boggabilla (L),4.2486
UCL,UCL121009,121009,Boggabri (L),5.8304
UCL,UCL121010,121010,Boomerang Beach - Blueys Beach (L),4.7593
UCL,UCL121011,121011,Bowraville (L),2.2294
UCL,UCL121012,121012,Brandy Hill (L),6.3434
UCL,UCL121013,121013,Brewarrina (L),4.8359
UCL,UCL121014,121014,Broadwater (L),0.9863
UCL,UCL121015,121015,Brooklyn (L),2.158
UCL,UCL121016,121016,Burringbar (L),1.7387
UCL,UCL121017,121017,Catherine Hill Bay (L),0.9832
UCL,UCL121018,121018,Clarence Town (L),2.4892
UCL,UCL121019,121019,Clifton Grove (L),13.5933
UCL,UCL121020,121020,Clunes (L) (NSW),1.003
UCL,UCL121021,121021,Coleambally (L),3.2856
UCL,UCL121022,121022,Coolah (L),2.8295
UCL,UCL121023,121023,Coomba Park (L),3.0272
UCL,UCL121024,121024,Coutts Crossing (L),5.0358
UCL,UCL121025,121025,Cowan (L),0.3968
UCL,UCL121026,121026,Crescent Head (L),1.1606
UCL,UCL121027,121027,Cudgen (L),0.3819
UCL,UCL121028,121028,Cunjurong Point - Manyana (L),2.7216
UCL,UCL121029,121029,Curlewis (L),4.9294
UCL,UCL121030,121030,Darlington Point (L),4.3483
UCL,UCL121031,121031,Diamond Beach (L),4.4692
UCL,UCL121032,121032,Dunedoo (L),4.2189
UCL,UCL121033,121033,Dunoon (L),0.5862
UCL,UCL121034,121034,East Jindabyne (L),8.823
UCL,UCL121035,121035,Ellalong (L),1.9901
UCL,UCL121036,121036,Emerald Beach West (L),7.8804
UCL,UCL121037,121037,Erowal Bay (L),1.4688
UCL,UCL121038,121038,Eugowra (L),4.5142
UCL,UCL121039,121039,Ewingsdale (L),5.3241
UCL,UCL121040,121040,Firgrove (L),5.1331
UCL,UCL121041,121041,Ganmain (L),2.6683
UCL,UCL121042,121042,Gerroa (L),0.9876
UCL,UCL121043,121043,Glenorie (L),0.4235
UCL,UCL121044,121044,Glenreagh (L),2.1822
UCL,UCL121045,121045,Green Point (L),0.9858
UCL,UCL121046,121046,Gundaroo (L),0.8938
UCL,UCL121047,121047,Gunning (L),1.5214
UCL,UCL121048,121048,Hallidays Point - West (L),6.1506
UCL,UCL121049,121049,Hanwood (L),0.6165
UCL,UCL121050,121050,Hastings Point (L),0.9717
UCL,UCL121051,121051,Henty (L),3.0381
UCL,UCL121052,121052,Huskisson (L),1.272
UCL,UCL121053,121053,Jerilderie (L),7.8564
UCL,UCL121054,121054,Jilliby (L),4.5315
UCL,UCL121055,121055,Kalaru (L),6.7876
UCL,UCL121056,121056,Kendall (L),3.6412
UCL,UCL121057,121057,Killingworth (L),0.5835
UCL,UCL121058,121058,King Creek (L),17.4076
UCL,UCL121059,121059,Kings Point (L),2.6264
UCL,UCL121060,121060,Kingswood (L),5.2199
UCL,UCL121061,121061,Kitchener (L),0.611
UCL,UCL121062,121062,Kurrajong Heights (L),1.0991
UCL,UCL121063,121063,Lake Conjola (L),1.1386
UCL,UCL121064,121064,Lake Tabourie (L),2.7191
UCL,UCL121065,121065,Lawrence (L),6.1736
UCL,UCL121066,121066,Lochinvar (L),1.0356
UCL,UCL121067,121067,Lockhart (L),2.1523
UCL,UCL121068,121068,Long Beach - Maloneys Beach (L),10.551
UCL,UCL121069,121069,Louth Park (L),2.3992
UCL,UCL121070,121070,Maianbar (L),0.2931
UCL,UCL121071,121071,Manildra (L),2.583
UCL,UCL121072,121072,Marulan (L),2.7392
UCL,UCL121073,121073,Mathoura (L),2.3909
UCL,UCL121074,121074,Medlow Bath (L),3.1061
UCL,UCL121075,121075,Menangle (L),0.2988
UCL,UCL121076,121076,Millfield (L),1.5339
UCL,UCL121077,121077,Millthorpe (L),0.9
UCL,UCL121078,121078,Minmi (L),2.4419
UCL,UCL121079,121079,Modanville (L),2.3254
UCL,UCL121080,121080,Moonee Beach (L),3.5394
UCL,UCL121081,121081,Moonee Beach West (L),7.4114
UCL,UCL121082,121082,Moruya Heads (L),12.3761
UCL,UCL121083,121083,Mount Victoria (L),2.13
UCL,UCL121084,121084,Mulgoa (L),1.6359
UCL,UCL121085,121085,Murrays Beach (L),1.14
UCL,UCL121086,121086,Murrurundi (L),2.4306
UCL,UCL121087,121087,Nabiac (L),2.0303
UCL,UCL121088,121088,New Berrima (L),3.3855
UCL,UCL121089,121089,Nords Wharf (L),1.1965
UCL,UCL121090,121090,Nowra Hill (L),6.6298
UCL,UCL121091,121091,Nunderi (L),3.8271
UCL,UCL121092,121092,Oakdale (L),5.5769
UCL,UCL121093,121093,Paxton (L),1.5111
UCL,UCL121094,121094,Peak Hill (L),3.6436
UCL,UCL121095,121095,Putta Bucca - Bombira (L),11.3966
UCL,UCL121096,121096,Red Head (L),2.5539
UCL,UCL121097,121097,Repton (L),8.9417
UCL,UCL121098,121098,Richmond Hill (L),6.6272
UCL,UCL121099,121099,Rylstone (L),2.0546
UCL,UCL121100,121100,Safety Beach (L),2.1922
UCL,UCL121101,121101,Salt Ash (L),18.7063
UCL,UCL121102,121102,Scotts Head (L),1.2851
UCL,UCL121103,121103,Smithtown - Gladstone (L),3.0847
UCL,UCL121104,121104,Stroud (L),3.037
UCL,UCL121105,121105,Stuarts Point (L),0.6872
UCL,UCL121106,121106,Tallwoods Village (L),2.4392
UCL,UCL121107,121107,The Rock (L),4.6353
UCL,UCL121108,121108,Tinonee (L),0.9539
UCL,UCL121109,121109,Tintenbar (L),6.2048
UCL,UCL121110,121110,Townsend (L),3.2202
UCL,UCL121111,121111,Trangie (L),1.9766
UCL,UCL121112,121112,Uranquinty (L),1.2288
UCL,UCL121113,121113,Walla Walla (L),1.3297
UCL,UCL121114,121114,Wallabi Point (L),0.3946
UCL,UCL121115,121115,Wallaga Lake (L),4.8895
UCL,UCL121116,121116,Wallalong (L),2.0561
UCL,UCL121117,121117,Wardell (L),1.4906
UCL,UCL121118,121118,Waterfall (L),0.3848
UCL,UCL121119,121119,Waterview Heights (L),6.6559
UCL,UCL121120,121120,Wilcannia (L),2.7965
UCL,UCL121121,121121,Wingello (L),3.2623
UCL,UCL121122,121122,Wongarbon (L),4.8846
UCL,UCL121123,121123,Woodburn (L),1.7525
UCL,UCL121124,121124,Wooli (L),2.1076
UCL,UCL121125,121125,Woombah (L),4.9042
UCL,UCL121126,121126,Wooroowoolgan (L),0.6058
UCL,UCL121127,121127,Yanderra (L),2.7434
UCL,UCL121128,121128,Yerrinbool (L),1.0485
UCL,UCL122001,122001,Abernethy (L),0.2698
UCL,UCL122002,122002,Adaminaby (L),2.0235
UCL,UCL122003,122003,Agnes Banks (L),0.5076
UCL,UCL122004,122004,Angourie (L),3.5357
UCL,UCL122005,122005,Ardlethan (L),1.6874
